Dept,Count
Office for National Statistics,833
Department for Communities and Local Government,775
NHS Information Centre for Health and Social Care,638
"Department for Environment, Food and Rural Affairs",368
Welsh Government,267
Home Office,243
Department of Health,240
"Department for Children, Schools and Families",226
Scottish Government,176
Department for Transport,172
Department for Education,167
"Department for Business, Innovation and Skills",159
Department for Work and Pensions,159
Ministry of Justice,144
ISD Scotland,135
Ministry of Defence,88
Her Majesty's Revenue and Customs,82
Cabinet Office,73
Northern Ireland Statistics and Research Agency,71
Crown Prosecution Service,60
"Advisory, Conciliation and Arbitration Service",56
"Department of Health, Social Services and Public Safety",54
Warwickshire County Council,54
Department of Energy and Climate Change,52
"Department for Culture, Media and Sport",44
Healthcare Quality Improvement Partnership,43
Musgrove Park Hospital,43
National Records of Scotland,43
Sunderland City Council,42
Surrey and Sussex Healthcare NHS Trust,41
Medicines and Healthcare products Regulatory Agency,41
Economic and Social Research Council,41
Forestry Commission,39
Her Majesty's Treasury,38
Northern Devon Healthcare NHS Trust,35
Foreign and Commonwealth Office,34
Environment Agency,33
South West London and St George's Mental Health NHS Trust,32
The Disclosure and Barring Service,32
"Barking, Havering and Redbridge University Hospitals NHS Trust",31
The National Archives,31
East Midlands Ambulance Services NHS Trust,31
Food Standards Agency,31
George Eliot Hospital NHS Trust,31
Department for International Development,30
West Midlands Strategic Health Authority,29
Department of the Environment,28
Skills Funding Agency,28
NHS North Staffordshire,27
Care Quality Commission,27
NHS England,27
Valuation Tribunal Service,27
NHS Knowsley,27
"Department of Culture, Arts and Leisure",26
NHS Rotherham,26
Calderstones Partnership NHS Foundation Trust,26
Bristol City Council,26
NHS Stoke on Trent,25
Leeds Community Healthcare NHS Trust,25
Higher Education Funding Council for England,24
Criminal Records Bureau,24
NHS Leeds,23
Office of Rail Regulation,23
NHS London,23
NHS Kent and Medway,23
Cambridgeshire County Council,23
NHS Wiltshire,23
Department of Enterprise Trade and Investment,22
North West Ambulance Service NHS Trust,22
Ridgeway Partnership,22
Olympic Delivery Authority,22
Biotechnology and Biological Sciences Research Council,22
North Middlesex University Hospital NHS Trust,20
Higher Education Statistics Agency,20
NHS South West,20
Lichfield District Council,19
Imperial College Healthcare NHS Trust,18
Worcestershire Acute Hospitals NHS Trust,18
Department for Social Development,17
Met Office,17
Audit Commission,17
East Sussex County Council,16
Lincolnshire Community Health Services NHS Trust,16
North East Ambulance Service NHS Trust,16
Children's Workforce Development Council,16
Department of Agriculture and Rural Development,16
Office of Qualifications and Examinations Regulation,16
Coventry and Warwickshire Partnership NHS Trust,15
Walsall Hospitals NHS Trust,15
One North East,15
Dartford and Gravesham NHS Trust,14
Arts Council England,14
Derbyshire Mental Health Services NHS Trust,13
Health and Safety Executive,13
Commission for Architecture and the Built Environment,13
"Office for Standards in Education, Children's Services and Skills",13
Young People's Learning Agency,13
Harrogate Borough Council,12
East Staffordshire Borough Council,12
Sandwell Primary Care Trust,12
Department of Justice,11
NHS Plymouth,11
Treasury Solicitor's Department,11
Department of Finance and Personnel,11
"Centre for Environment, Fisheries & Aquaculture Science",11
DirectGov,11
NHS North Lincolnshire,11
London Borough of Sutton,11
Department of Education,10
Central and Eastern Cheshire Primary Care NHS Trust,10
Land Registry,10
Keep Britain Tidy,10
Hampshire County Council,10
Human Fertilisation and Embryology Authority,10
Department for Regional Development,10
Local Government Ombudsman,10
London Borough of Brent,9
Serious Fraud Office,9
Science and Technology Facilities Council,9
United Kingdom Hydrographic Office,9
Scotland Office,9
Monmouthshire County Council,9
Central Manchester University Hospitals NHS Foundation Trust,9
Health Protection Agency,9
Independent Police Complaints Commission,9
Defence Science and Technology Laboratory,8
Wyre Borough Council,8
Veterinary Laboratories Agency,8
Gambling Commission,8
Identity & Passport Service,8
Hartlepool Primary Care Trust,7
Police Service of Northern Ireland,7
Defence Infrastructure Organisation,7
NHS Rotherham CCG,7
NHS Ashford CCG,7
NHS Hardwick CCG,7
NHS Canterbury and Coastal CCG,7
Frimley Park Hospital NHS Foundation Trust,7
HM Inspectorate of Constabulary,7
NHS Nottingham City,7
NHS Sheffield CCG,7
NHS North Derbyshire CCG,7
Avon and Wiltshire Mental Health Partnership NHS Trust,7
NHS Erewash CCG,7
NHS Bassetlaw CCG,7
Kingston Hospital NHS Trust,7
NHS Institute for Innovation and Improvement,7
Wales Office,6
Transport Direct,6
NHS Litigation Authority,6
Technology Strategy Board,6
Competition Commission,6
UK Commission for Employment and Skills,6
Joint Nature Conservation Committee,6
St Austell Town Council,6
East Midlands Strategic Health Authority,6
NHS Wolverhampton CCG,6
Student Loans Company Limited,6
British Transport Police Authority,6
NHS Wirral,6
Natural History Museum,6
Homes and Communities Agency,6
Brent Primary Care Trust,6
NHS Barnsley CCG,6
