name,RevT,DLM,TCF,TCT,UF,FTs,Size,Art
conservation-area,2013-11-18,2013-11-18,,,,{u'HTML': 2},18.4,2
financial-transactions-data-nelctp,2013-09-06,2013-11-18,2010-04-01,2011-01-31,monthly,{u'CSV': 36},766.7,36
spend-over-25-000-in-north-east-lincolnshire-clinical-commissioning-group,2013-11-18,2013-11-18,,,,{u'CSV': 7},35.4,7
britishbehaviourabroad,2013-11-18,2013-11-18,2012-04-01,2013-03-31,annual,"{u'PDF': 1, u'CSV': 1}",356.3,2
sector-mentoring-challenge-fund,2013-11-18,2013-11-18,,,,"{u'PDF': 1, u'CSV': 1}",296.6,2
uk_hydrographic_office_junior_and_senior_staff_data_as_at_31_march_2011,,2013-11-18,,,,{},0.0,0
treaties-database,2013-11-18,2013-11-18,1834-01-01,2013-10-31,,"{u'PDF': 1, u'HTML': 1, u'CSV': 1}",5880.7,3
import-demand-long-run-income-elasticities,2013-11-18,2013-11-18,,,,"{u'PDF': 1, u'XLS': 1}",1033.6,2
conservation-areas5,2013-11-18,2013-11-18,,,,{u'url': 3},21.8,3
apprenticeship-starts-in-brighton-and-hove,2013-11-18,2013-11-18,2009-08-01,2013-04-30,,"{u'PDF': 1, u'CSV': 1}",25.0,2
financial-transactions-data-derbyshire-mental-health-services-trust,2013-06-19,2013-11-17,2010-04-01,2010-10-31,monthly,"{u'CSV': 9, u'HTML': 1}",24.9,10
financial-transactions-data-robert-jones-agnes-hunt-hospital-nhs-trust,2013-06-19,2013-11-15,2010-04-01,2011-06-30,monthly,{u'CSV': 16},54.0,16
nhs-stockport-ccg-spend-over-25000,2013-11-15,2013-11-15,2013-04-01,2013-10-31,monthly,{u'CSV': 7},43.7,7
over-25-000-spend-ichnt-2013-p07-october-return,2013-11-15,2013-11-15,,,,{u'CSV': 1},31.4,1
financial-transactions-data-robert-jones-agnes-hunt-hospital-nhs-foundation-trust,2013-06-19,2013-11-15,2011-08-01,2011-08-31,monthly,{u'CSV': 1},3.8,1
benefit-and-pension-rates-from-april-2013,2013-11-16,2013-11-14,2013-04-06,2014-03-31,,"{u'PDF': 1, u'CSV': 1}",45.4,2
gypsy_and_traveller_caravans,2013-11-16,2013-11-14,,,Bi-Annually,"{u'HTML': 1, u'XLS': 2}",885.6,3
department-for-education-q1-exceptions-data-2013-14,,2013-11-14,2013-04-01,2013-07-31,,{},0.0,0
england-gypsy-and-traveller-site-data-and-statistics,2013-11-16,2013-11-14,,,annual,{u'HTML': 1},22.9,1
financial-transactions-data-science-and-technology-facilities-council,2013-11-14,2013-11-14,2010-04-01,2013-09-30,monthly,{u'CSV': 41},4980.9,41
energy_consumption_in_the_uk,2013-11-16,2013-11-14,,,,"{u'HTML': 5, u'aspx': 1}",116.7,6
cwac-local-plan-policies-lines,2013-11-14,2013-11-14,,,,{u'XML': 1},3.0,1
taunton-and-somerset-nhs-foundation-expenditure-over-25k-october-2013-trust,,2013-11-14,2013-10-01,2013-10-31,,{},0.0,0
prompt-payment-reporting-for-capital-for-enterprise-ltd,2013-10-03,2013-11-13,,,,{u'PDF': 1},185.4,1
national-careers-service-satisfaction-and-progression-survey,2013-11-13,2013-11-13,2012-04,2013-03,annual,"{u'PDF': 1, u'XLS': 1}",1273.8,2
mansfield-car-parks,2013-11-13,2013-11-13,2013-11-13,,,{u'XML': 1},29.2,1
north-norfolk-district-council-section-106,2013-11-12,2013-11-12,1995-01-01,2013-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",2841.0,3
north-norfolk-district-council-hedge-removal,2013-11-12,2013-11-12,1997-01-01,2012-03-01,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",120.1,3
north-norfolk-district-council-locally-listed-buildings,2013-11-12,2013-11-12,2010-06-01,2012-11-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",458.3,3
north-norfolk-district-council-undeveloped-coast,2013-11-12,2013-11-12,2010-01-01,2011-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",2196.8,3
north-norfolk-district-council-ldf-coastal-erosion,2013-11-16,2013-11-12,2008-03-01,2008-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",304.7,3
north-norfolk-district-council-tree-preservation-orders,2013-11-12,2013-11-12,1995-01-01,2013-10-31,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",2321.1,3
north-norfolk-district-council-coast-erosion-risk-2055,2013-11-12,2013-11-12,2004-04-01,2012-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",136.8,3
north-norfolk-district-council-coast-erosion-risk-2025,2013-11-12,2013-11-12,2004-04-01,2012-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",101.8,3
north-norfolk-district-council-coast-erosion-risk-2105,2013-11-12,2013-11-12,2004-04-01,2012-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",210.0,3
north-norfolk-district-council-compulsory-purchase-orders,2013-11-12,2013-11-12,1995-01-01,2013-11-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",38.7,3
north-norfolk-district-council-article-4,2013-11-12,2013-11-12,1998-01-01,2013-02-28,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",838.6,3
research-for-development-gateway,2013-11-16,2013-11-12,,,,"{u'XML': 1, u'RDF': 1}",619.4,2
north-norfolk-district-council-open-space,2013-11-12,2013-11-12,2010-01-01,2011-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",584.2,3
north-norfolk-district-council-grass-areas,2013-11-12,2013-11-12,2010-01-01,2011-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",292.8,3
north-norfolk-district-council-playgrounds,2013-11-12,2013-11-12,2010-01-01,2011-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",100.1,3
north-norfolk-district-council-ldf-open-space,2013-11-12,2013-11-12,2008-03-01,2008-09-30,,"{u'XML': 1, u'KML': 1, u'kmz': 1}",585.0,3
business-population-estimates-for-the-uk-and-regions,2013-11-16,2013-11-11,,,,{u'HTML': 1},24.2,1
october-2013-spend-over-25-000-in-george-eliot-hospital-nhs-trust,2013-11-11,2013-11-11,2013-10-01,2013-10-31,monthly,{u'CSV': 1},39.0,1
